date,open,high,low,close,volume,sma_20,sma_50,sma_200,ema_12,ema_26,rsi,macd,macd_signal,macd_hist,bb_upper,bb_lower,bb_mid,bb_pct,vol_sma20,vol_ratio,ret_1d,ret_5d,ret_20d,ticker,sentiment_score,sentiment_count,sentiment_pos,sentiment_neg,sent_3d,sent_7d,sent_momentum,pe_ratio,forward_pe,eps,revenue_growth,profit_margin,debt_to_equity,target_5d,target_20d,return_5d,return_20d
2025-08-27,349.2964005858572,352.00543842090394,348.4299121185624,348.9378662109375,5531100.0,340.950277709961,345.9911065673828,336.33382598876943,344.87337152932736,344.50034202107406,56.463417262627615,0.3730295082532961,-1.1955474929556045,1.5685770012089004,351.7542428007061,330.14631261921585,340.950277709961,0.8696600476314563,6288705.0,0.8795292512528413,-0.0023633892189769,0.0186666224775096,0.0001608620315483,V,0.0,0.0,0.0,0.0,,,0.0,28.321127,20.748465,10.65,0.146,0.50233,54.612,1.0,0.0,0.0018267454352791448,-0.044013134165868335
2025-08-28,349.1868671034665,349.62509605771004,347.1949283640224,348.4498291015625,4987100.0,341.1991119384766,345.8446697998047,336.5638578796386,345.4235957712097,344.7928966196288,55.661658336769214,0.6306991515809273,-0.8302981640482979,1.4609973156292253,352.4670164053229,329.9312074716304,341.1991119384766,0.8217420410156131,6105975.0,0.8167573565237328,-0.0013986361373573,0.0179522566472669,0.0144892974881758,V,0.0,0.0,0.0,0.0,,,0.0,28.321127,20.748465,10.65,0.146,0.50233,54.612,0.0,0.0,-0.01897897390822424,-0.03569993494484692
2025-08-29,349.0474346520695,351.20870166850244,347.5933278083949,350.36212158203125,3671900.0,341.8477905273438,346.0836602783204,336.79321472167965,346.1833689728746,345.2054318020289,58.168169636974255,0.977937170845621,-0.4686510970695142,1.4465882679151352,353.6720441151869,330.0235369395008,341.8477905273438,0.8600367241185213,5856635.0,0.6269641184741749,0.005487999478718,0.0049709034908369,0.0384529107014868,V,0.0,0.0,0.0,0.0,,,0.0,28.321127,20.748465,10.65,0.146,0.50233,54.612,0.0,0.0,-0.026948785026931363,-0.03303205580582172
2025-09-02,347.90205015208494,348.7585995956409,344.6850582193853,348.65899658203125,4940300.0,342.2721237182617,346.32457885742195,336.998973083496,346.5642347588987,345.4612514153625,55.17645016884825,1.1029833435362093,-0.1543242089483695,1.257307552484579,354.44712673249643,330.0971207040271,342.2721237182617,0.762294508491696,5736885.0,0.8611467721594558,-0.0048610420336241,0.0035835184678791,0.0249481307001393,V,0.0,0.0,0.0,0.0,,,0.0,28.321127,20.748465,10.65,0.146,0.50233,54.612,0.0,0.0,-0.017368005799284332,-0.024823590805242393
2025-09-03,347.9319176719724,349.47568835059127,345.8603148655181,349.45574951171875,4176400.0,342.9709289550782,346.47843139648444,337.211093597412,347.0090831824094,345.7571401632407,56.308572945286215,1.2519430191687206,0.1269292366750485,1.125013782493672,355.10869907504923,330.8331588351072,342.9709289550782,0.7671339336540712,5580925.0,0.7483347294579302,0.0022851925161784,-0.0008827263531727,0.0416600677685985,V,0.0,0.0,0.0,0.0,,,0.0,28.321127,20.748465,10.65,0.146,0.50233,54.612,0.0,0.0,-0.036338156972957565,-0.008664159862146128
2025-09-04,349.3163554918516,351.20869125607726,347.7427068329104,349.5752868652344,4324000.0,343.5608779907228,346.4779858398439,337.4256448364257,347.4038837489979,346.03996584486987,56.486146983574045,1.3639179041280158,0.374326970165642,0.989590933962374,355.78224488476786,331.33951109667765,343.5608779907228,0.7460612190890077,5499920.0,0.786193253720054,0.0003420672107488,0.0018267454352791,0.0349313450883943,V,0.0,0.0,0.0,0.0,,,0.0,28.321127,20.748465,10.65,0.146,0.50233,54.612,0.0,0.0,-0.021368179840859133,-0.01435937844149101
2025-09-05,349.9637226051439,351.19871489948525,338.8287923269697,341.83660888671875,5448300.0,344.1441833496095,346.44942993164074,337.6075968933105,346.5473799240318,345.72860607019203,44.01443227503883,0.8187738538397866,0.463216346900471,0.3555575069393156,354.67068740013235,333.6176792990866,344.1441833496095,0.3903921733081698,5332480.0,1.0217197251560248,-0.0221373714598394,-0.0189789739082242,0.035333584064445,V,0.0,0.0,0.0,0.0,,,0.0,28.321127,20.748465,10.65,0.146,0.50233,54.612,0.0,1.0,-0.01104246631329108,0.01928793634882802
2025-09-08,340.9601353694522,342.99192130469794,339.625540120141,340.9202880859375,4711600.0,344.44852905273444,346.38723693847663,337.77808059692376,345.6816734874019,345.37243436765465,42.80915673631399,0.3092391197472466,0.4324209014698261,-0.1231817817225795,354.1621594106608,334.73489869480807,344.44852905273444,0.3183871098082157,5264365.0,0.8949987320408063,-0.0026805812395737,-0.0269487850269313,0.0181789347619629,V,0.0,0.0,0.0,0.0,,,0.0,28.321127,20.748465,10.65,0.146,0.50233,54.612,0.0,1.0,-0.009494618161792798,0.02039149332627714
2025-09-09,340.3127677727729,344.9241107011969,339.91438611386513,342.6034851074219,4646200.0,344.88077850341807,346.3074066162109,337.94449462890617,345.208106044328,345.1673270150448,45.74801706639371,0.0407790292832146,0.3540925270325039,-0.3133134977492892,353.31393392082003,336.4476230860161,344.88077850341807,0.3649797564703989,5210885.0,0.8916335708809539,0.0049372157665785,-0.0173680057992843,0.0258864173685973,V,0.0,0.0,0.0,0.0,,,0.0,28.321127,20.748465,10.65,0.146,0.50233,54.612,0.0,1.0,-0.011511939992327035,0.024506630825059186
2025-09-10,341.2290645499819,341.2290645499819,335.0839503188202,336.7571716308594,6557900.0,344.9495010375977,345.98259460449214,338.0832131958007,343.9079622884098,344.5443525421422,38.37233053259881,-0.6363902537323725,0.1559959708795286,-0.7923862246119011,353.07349356710506,336.8255085080904,344.9495010375977,-0.0042058678032123,5254640.0,1.2480207968576342,-0.0170643724617378,-0.0363381569729576,0.0040981559208288,V,0.0,0.0,0.0,0.0,,,0.0,28.321127,20.748465,10.65,0.146,0.50233,54.612,1.0,1.0,0.023896816443236837,0.03915763672195523
2025-09-11,337.3647058719823,342.14534655170456,336.5081564334102,342.1054992675781,5157600.0,344.99631195068366,345.75639709472654,338.27077041625967,343.6306602852049,344.3636967440263,46.81936530380637,-0.7330364588213456,-0.0218105150606462,-0.7112259437606994,353.0389734215418,336.9536504798255,344.99631195068366,0.3202825834519819,5227850.0,0.986562353548782,0.0158818522284698,-0.0213681798408591,0.0027441458356347,V,0.0,0.0,0.0,0.0,,,0.0,28.321127,20.748465,10.65,0.146,0.50233,54.612,0.0,1.0,-0.015458898585589636,0.010335221420158745
